id,name,slot,rarity,kit,fits,needs,percent,flat,blurb
"bs_track_2","Tracking Battery II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_turn or main_damage or main_range","main_damage +15%; main_range -15%; main_turn +150%","","turrets that swing fast; shorter reach"
"cv_elite_2","Elite Hangars II","Weapon","Rare","","CARRIER","fighter_speed or fighter_damage or fighter_turn or fighter_count","fighter_damage +150%; fighter_speed +150%; fighter_turn +37.5%","fighter_count -1","two fighters, very fast and very deadly"
"cv_leash_2","Leash Hangars II","Weapon","Rare","","CARRIER","control_range or fighter_range or fighter_damage","control_range +60%; fighter_damage -10%; fighter_range +30%","","fighters that fight far from the carrier"
"cv_line_2","Line Hangars II","Weapon","Rare","","CARRIER","fighter_damage or fighter_speed or fighter_count","fighter_damage +30%; fighter_speed +15%","fighter_count +1","one more fighter, a little better all round"
"cv_swarm_2","Swarm Hangars II","Weapon","Rare","","CARRIER","fighter_speed or fighter_damage or fighter_count","fighter_damage -22%; fighter_speed -22%","fighter_count +4","a swarm of slower, weaker fighters"
"dd_heavy_2","Heavy Twins II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_damage or main_interval or main_turn","main_damage +120%; main_interval -35%; main_turn -30%","","huge shells, slow to reload and to train"
"dd_long_2","Long Twins II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_range or main_damage","main_damage -15%; main_range +60%","","reaches much further, a little lighter"
"dd_rapid_2","Rapid Twins II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_interval or main_damage","main_damage -30%; main_interval +90%","","fires far faster, hits lighter"
"dd_track_2","Tracking Twins II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_turn or main_damage or main_range","main_damage +15%; main_range -15%; main_turn +150%","","turrets that swing fast; shorter reach"
"bs_heavy_3","Heavy Battery III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_damage or main_interval or main_turn","main_damage +160%; main_interval -35%; main_turn -30%","","huge shells, slow to reload and to train"
"bs_long_3","Long Battery III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_range or main_damage","main_damage -15%; main_range +80%","","reaches much further, a little lighter"
"bs_rapid_3","Rapid Battery III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_interval or main_damage","main_damage -30%; main_interval +120%","","fires far faster, hits lighter"
"bs_track_3","Tracking Battery III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_turn or main_damage or main_range","main_damage +20%; main_range -15%; main_turn +200%","","turrets that swing fast; shorter reach"
"cv_elite_3","Elite Hangars III","Weapon","Epic","","CARRIER","fighter_speed or fighter_damage or fighter_turn or fighter_count","fighter_damage +200%; fighter_speed +200%; fighter_turn +50%","fighter_count -1","two fighters, very fast and very deadly"
"cv_leash_3","Leash Hangars III","Weapon","Epic","","CARRIER","control_range or fighter_range or fighter_damage","control_range +80%; fighter_damage -10%; fighter_range +40%","","fighters that fight far from the carrier"
"cv_line_3","Line Hangars III","Weapon","Epic","","CARRIER","fighter_damage or fighter_speed or fighter_count","fighter_damage +40%; fighter_speed +20%","fighter_count +1","one more fighter, a little better all round"
"cv_swarm_3","Swarm Hangars III","Weapon","Epic","","CARRIER","fighter_speed or fighter_damage or fighter_count","fighter_damage -22%; fighter_speed -22%","fighter_count +6","a swarm of slower, weaker fighters"
"dd_heavy_3","Heavy Twins III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_damage or main_interval or main_turn","main_damage +160%; main_interval -35%; main_turn -30%","","huge shells, slow to reload and to train"
"dd_long_3","Long Twins III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_range or main_damage","main_damage -15%; main_range +80%","","reaches much further, a little lighter"
"dd_rapid_3","Rapid Twins III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_interval or main_damage","main_damage -30%; main_interval +120%","","fires far faster, hits lighter"
"dd_track_3","Tracking Twins III","Weapon","Epic","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_turn or main_damage or main_range","main_damage +20%; main_range -15%; main_turn +200%","","turrets that swing fast; shorter reach"
"drv_cruiser_1","Cruiser Drive","Engines","Common","","every hull","max_speed or reverse_speed or thrust","max_speed +15%; reverse_speed +50%; thrust -20%","","fast ahead and astern, slow to get going"
"drv_helm_1","Helm Drive","Engines","Common","","every hull","turn_rate or turn_radius or max_speed","max_speed -15%; turn_radius +30%; turn_rate +40%","","turns tight and quick, slower"
"drv_racing_1","Racing Drive","Engines","Common","","every hull","max_speed or thrust or turn_rate","max_speed +25%; thrust +30%; turn_rate -25%","","much faster, turns wider"
"drv_surge_1","Surge Drive","Engines","Common","","every hull","thrust or reverse_thrust or max_speed","max_speed -10%; reverse_thrust +80%; thrust +80%","","leaps forward and back, a lower top speed"
"std_drive","Standard Drive Cluster","Engines","Common","kit","every hull","","","","the helm: speed and turning"
"drv_cruiser_2","Cruiser Drive II","Engines","Rare","","every hull","max_speed or reverse_speed or thrust","max_speed +22.5%; reverse_speed +75%; thrust -20%","","fast ahead and astern, slow to get going"
"drv_helm_2","Helm Drive II","Engines","Rare","","every hull","turn_rate or turn_radius or max_speed","max_speed -15%; turn_radius +45%; turn_rate +60%","","turns tight and quick, slower"
"drv_racing_2","Racing Drive II","Engines","Rare","","every hull","max_speed or thrust or turn_rate","max_speed +37.5%; thrust +45%; turn_rate -25%","","much faster, turns wider"
"drv_surge_2","Surge Drive II","Engines","Rare","","every hull","thrust or reverse_thrust or max_speed","max_speed -10%; reverse_thrust +120%; thrust +120%","","leaps forward and back, a lower top speed"
"drv_cruiser_3","Cruiser Drive III","Engines","Epic","","every hull","max_speed or reverse_speed or thrust","max_speed +30%; reverse_speed +100%; thrust -20%","","fast ahead and astern, slow to get going"
"drv_helm_3","Helm Drive III","Engines","Epic","","every hull","turn_rate or turn_radius or max_speed","max_speed -15%; turn_radius +60%; turn_rate +80%","","turns tight and quick, slower"
"drv_racing_3","Racing Drive III","Engines","Epic","","every hull","max_speed or thrust or turn_rate","max_speed +50%; thrust +60%; turn_rate -25%","","much faster, turns wider"
"drv_surge_3","Surge Drive III","Engines","Epic","","every hull","thrust or reverse_thrust or max_speed","max_speed -10%; reverse_thrust +160%; thrust +160%","","leaps forward and back, a lower top speed"
"basic_deflector","Basic Deflector Array","Shield","Common","kit","every hull","","","","the ship's hull points"
"sh_balanced_1","Balanced Array","Shield","Common","","every hull","hull or pd_range","hull +20%; pd_range +10%","","more hull, a longer point defence"
"sh_bulwark_1","Bulwark Array","Shield","Common","","every hull","hull or max_speed","hull +40%; max_speed -15%","","a great deal of hull, slower"
"sh_glass_1","Glass Array","Shield","Common","","every hull","deploy_damage or emp_damage or fighter_damage or hunter_damage or main_damage or missile_damage or rail_damage or torpedo_damage or hull","deploy_damage +20%; emp_damage +20%; fighter_damage +20%; hull -25%; hunter_damage +20%; main_damage +20%; missile_damage +20%; rail_damage +20%; torpedo_damage +20%","","every weapon hits harder; less hull"
"sh_screen_1","Screen Array","Shield","Common","","every hull","hull or thrust","hull +25%; thrust -10%","","more hull, sluggish off the mark"
"sh_balanced_2","Balanced Array II","Shield","Rare","","every hull","hull or pd_range","hull +30%; pd_range +15%","","more hull, a longer point defence"
"sh_bulwark_2","Bulwark Array II","Shield","Rare","","every hull","hull or max_speed","hull +60%; max_speed -15%","","a great deal of hull, slower"
"sh_glass_2","Glass Array II","Shield","Rare","","every hull","deploy_damage or emp_damage or fighter_damage or hunter_damage or main_damage or missile_damage or rail_damage or torpedo_damage or hull","deploy_damage +30%; emp_damage +30%; fighter_damage +30%; hull -25%; hunter_damage +30%; main_damage +30%; missile_damage +30%; rail_damage +30%; torpedo_damage +30%","","every weapon hits harder; less hull"
"sh_screen_2","Screen Array II","Shield","Rare","","every hull","hull or thrust","hull +37.5%; thrust -10%","","more hull, sluggish off the mark"
"sh_balanced_3","Balanced Array III","Shield","Epic","","every hull","hull or pd_range","hull +40%; pd_range +20%","","more hull, a longer point defence"
"sh_bulwark_3","Bulwark Array III","Shield","Epic","","every hull","hull or max_speed","hull +80%; max_speed -15%","","a great deal of hull, slower"
"sh_glass_3","Glass Array III","Shield","Epic","","every hull","deploy_damage or emp_damage or fighter_damage or hunter_damage or main_damage or missile_damage or rail_damage or torpedo_damage or hull","deploy_damage +40%; emp_damage +40%; fighter_damage +40%; hull -25%; hunter_damage +40%; main_damage +40%; missile_damage +40%; rail_damage +40%; torpedo_damage +40%","","every weapon hits harder; less hull"
"sh_screen_3","Screen Array III","Shield","Epic","","every hull","hull or thrust","hull +50%; thrust -10%","","more hull, sluggish off the mark"
"cr_cradle_1","Turret Cradle","Hull","Common","","FREIGHTER / TENDER / BASTION","deploy_hull or deploy_range","deploy_hull +60%; deploy_range -15%","","the turrets it drops stand up to far more"
"cr_heavy_1","Heavy Cradle","Hull","Common","","FREIGHTER / TENDER / BASTION","deploy_damage or deploy_range or deploy_cooldown","deploy_cooldown -30%; deploy_damage +45%; deploy_range +25%","","turrets that hit much harder and reach further; slow to drop"
"cr_rack_1","Launch Rack","Hull","Common","","FREIGHTER / TENDER / BASTION","deploy_cooldown or deploy_damage","deploy_cooldown +50%; deploy_damage -20%","","drops them far sooner, and lighter"
"fr_armour_1","Armoured Frame","Hull","Common","","every hull","hull or pd_active","hull +20%; pd_active -30%","","a tougher frame, a shorter point-defence window"
"fr_braced_1","Braced Frame","Hull","Common","","every hull","hull or turn_rate or max_speed","hull +30%; max_speed -10%; turn_rate -20%","","a heavier frame: it takes more, and comes round slower"
"fr_endurance_1","Endurance Frame","Hull","Common","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_active or pd_reload","pd_active +50%; pd_reload +30%","","point defence that fires longer and returns sooner"
"fr_flak_1","Flak Frame","Hull","Common","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_damage or pd_interval or pd_range","pd_damage +60%; pd_interval +30%; pd_range -15%","","point defence that shreds, shorter"
"fr_keel_1","Keel Brace","Hull","Common","","every hull","keel or water_drag or max_speed","keel +60%; max_speed -8%; water_drag +25%","","it holds the water: no drift, and a little heavy"
"fr_picket_1","Picket Frame","Hull","Common","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_range or pd_turn or pd_damage","pd_damage -20%; pd_range +40%; pd_turn +50%","","point defence that reaches, lighter"
"fr_spar_1","Spar Frame","Hull","Common","","every hull","turn_rate or turn_radius or hull","hull -20%; turn_radius +20%; turn_rate +45%","","stripped to the spars: it turns far harder, and dents"
"reinforced_frame","Reinforced Frame","Hull","Common","kit","every hull","","","","the frame, and its point defence"
"cr_cradle_2","Turret Cradle II","Hull","Rare","","FREIGHTER / TENDER / BASTION","deploy_hull or deploy_range","deploy_hull +90%; deploy_range -15%","","the turrets it drops stand up to far more"
"cr_heavy_2","Heavy Cradle II","Hull","Rare","","FREIGHTER / TENDER / BASTION","deploy_damage or deploy_range or deploy_cooldown","deploy_cooldown -30%; deploy_damage +67.5%; deploy_range +37.5%","","turrets that hit much harder and reach further; slow to drop"
"cr_rack_2","Launch Rack II","Hull","Rare","","FREIGHTER / TENDER / BASTION","deploy_cooldown or deploy_damage","deploy_cooldown +75%; deploy_damage -20%","","drops them far sooner, and lighter"
"fr_armour_2","Armoured Frame II","Hull","Rare","","every hull","hull or pd_active","hull +30%; pd_active -30%","","a tougher frame, a shorter point-defence window"
"fr_braced_2","Braced Frame II","Hull","Rare","","every hull","hull or turn_rate or max_speed","hull +45%; max_speed -10%; turn_rate -20%","","a heavier frame: it takes more, and comes round slower"
"fr_endurance_2","Endurance Frame II","Hull","Rare","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_active or pd_reload","pd_active +75%; pd_reload +45%","","point defence that fires longer and returns sooner"
"fr_flak_2","Flak Frame II","Hull","Rare","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_damage or pd_interval or pd_range","pd_damage +90%; pd_interval +45%; pd_range -15%","","point defence that shreds, shorter"
"fr_keel_2","Keel Brace II","Hull","Rare","","every hull","keel or water_drag or max_speed","keel +90%; max_speed -8%; water_drag +37.5%","","it holds the water: no drift, and a little heavy"
"fr_picket_2","Picket Frame II","Hull","Rare","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_range or pd_turn or pd_damage","pd_damage -20%; pd_range +60%; pd_turn +75%","","point defence that reaches, lighter"
"fr_spar_2","Spar Frame II","Hull","Rare","","every hull","turn_rate or turn_radius or hull","hull -20%; turn_radius +30%; turn_rate +67.5%","","stripped to the spars: it turns far harder, and dents"
"cr_cradle_3","Turret Cradle III","Hull","Epic","","FREIGHTER / TENDER / BASTION","deploy_hull or deploy_range","deploy_hull +120%; deploy_range -15%","","the turrets it drops stand up to far more"
"cr_heavy_3","Heavy Cradle III","Hull","Epic","","FREIGHTER / TENDER / BASTION","deploy_damage or deploy_range or deploy_cooldown","deploy_cooldown -30%; deploy_damage +90%; deploy_range +50%","","turrets that hit much harder and reach further; slow to drop"
"cr_rack_3","Launch Rack III","Hull","Epic","","FREIGHTER / TENDER / BASTION","deploy_cooldown or deploy_damage","deploy_cooldown +100%; deploy_damage -20%","","drops them far sooner, and lighter"
"fr_armour_3","Armoured Frame III","Hull","Epic","","every hull","hull or pd_active","hull +40%; pd_active -30%","","a tougher frame, a shorter point-defence window"
"fr_braced_3","Braced Frame III","Hull","Epic","","every hull","hull or turn_rate or max_speed","hull +60%; max_speed -10%; turn_rate -20%","","a heavier frame: it takes more, and comes round slower"
"fr_endurance_3","Endurance Frame III","Hull","Epic","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_active or pd_reload","pd_active +100%; pd_reload +60%","","point defence that fires longer and returns sooner"
"fr_flak_3","Flak Frame III","Hull","Epic","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_damage or pd_interval or pd_range","pd_damage +120%; pd_interval +60%; pd_range -15%","","point defence that shreds, shorter"
"fr_keel_3","Keel Brace III","Hull","Epic","","every hull","keel or water_drag or max_speed","keel +120%; max_speed -8%; water_drag +50%","","it holds the water: no drift, and a little heavy"
"fr_picket_3","Picket Frame III","Hull","Epic","","BATTLESHIP / CARRIER / DESTROYER / FREIGHTER / TENDER / BASTION / WARDEN","pd_range or pd_turn or pd_damage","pd_damage -20%; pd_range +80%; pd_turn +100%","","point defence that reaches, lighter"
"fr_spar_3","Spar Frame III","Hull","Epic","","every hull","turn_rate or turn_radius or hull","hull -20%; turn_radius +40%; turn_rate +90%","","stripped to the spars: it turns far harder, and dents"
"bs_barrage_1","Barrage Broadside","Utility","Common","","BATTLESHIP","broadside_windup or broadside_cooldown or broadside_volleys","broadside_cooldown -20%; broadside_windup -30%","broadside_volleys +1","more volleys; slower to aim and to return"
"bs_broadside","Broadside Battery","Utility","Common","kit","BATTLESHIP","broadside_mult","","","the broadside: every main gun, volley on volley"
"bs_heavyside_1","Heavy Broadside","Utility","Common","","BATTLESHIP","broadside_mult or broadside_cooldown","broadside_cooldown -25%; broadside_mult +40%","","shells that hit far harder; a longer cooldown"
"bs_rapidside_1","Rapid Broadside","Utility","Common","","BATTLESHIP","broadside_cooldown or broadside_mult","broadside_cooldown +50%; broadside_mult -25%","","back far sooner, lighter shells"
"bs_snap_1","Snap Broadside","Utility","Common","","BATTLESHIP","broadside_windup or broadside_volleys","broadside_windup +100%","broadside_volleys -1","fires almost at once; one volley fewer"
"bub_deep_1","Deep Bubble","Utility","Common","","FREIGHTER","bubble_pool or bubble_radius","bubble_pool +50%; bubble_radius -20%","","soaks far more; it covers less ground"
"bub_long_1","Long Bubble","Utility","Common","","FREIGHTER","bubble_time or bubble_cooldown","bubble_cooldown -25%; bubble_time +60%","","stands far longer; slower to come back"
"bub_snap_1","Snap Bubble","Utility","Common","","FREIGHTER","bubble_cooldown or bubble_time or bubble_pool","bubble_cooldown +50%; bubble_pool -15%; bubble_time -25%","","up again almost at once; thinner, and briefer"
"bub_wide_1","Wide Bubble","Utility","Common","","FREIGHTER","bubble_radius or bubble_pool","bubble_pool -25%; bubble_radius +40%","","covers the whole party; it soaks less"
"cv_bomber_bay","Bomber Bay","Utility","Common","kit","CARRIER","bomber_count","","","the bomber wing"
"cv_heavybay_1","Heavy Bay","Utility","Common","","CARRIER","torpedo_damage or bomber_speed or bomber_count","bomber_speed -20%; torpedo_damage +80%","bomber_count -1","one bomber, torpedoes that break ships"
"cv_longbay_1","Long Bay","Utility","Common","","CARRIER","torpedo_range or launch_range or torpedo_speed or torpedo_damage","launch_range +30%; torpedo_damage -15%; torpedo_range +40%; torpedo_speed +20%","","torpedoes launched from far off"
"cv_rapidbay_1","Rapid Bay","Utility","Common","","CARRIER","bomber_rearm or torpedo_damage or bomber_ammo","bomber_rearm +60%; torpedo_damage -20%","bomber_ammo +1","rearms fast, more torpedoes a run"
"cv_widebay_1","Wide Bay","Utility","Common","","CARRIER","torpedo_damage or bomber_count","torpedo_damage -30%","bomber_count +1","more bombers, lighter torpedoes"
"dd_buster_1","Buster Rack","Utility","Common","","DESTROYER","missile_damage or missile_speed or missile_turn","missile_damage +100%; missile_speed -20%; missile_turn -30%","","devastating missiles, slow and clumsy"
"dd_loader_1","Loader Rack","Utility","Common","","DESTROYER","missile_reload or missile_refire or missile_damage","missile_damage -25%; missile_refire +40%; missile_reload +60%","","reloads fast, lighter warheads"
"dd_missile_rack","Missile Rack","Utility","Common","kit","DESTROYER","missile_mag","","","the missile bursts and their magazine"
"dd_salvo_1","Salvo Rack","Utility","Common","","DESTROYER","missile_reload or missile_damage or missile_mag","missile_damage -20%; missile_reload -25%","missile_mag +1","more bursts a magazine, a slower reload"
"dd_seeker_1","Seeker Rack","Utility","Common","","DESTROYER","missile_turn or missile_speed or missile_damage","missile_damage -20%; missile_speed +20%; missile_turn +100%","","missiles that hunt; lighter warheads"
"ech_deep_1","Deep Core","Utility","Common","","ECHO","echo_share or echo_radius","echo_radius -25%; echo_share +40%","","it repeats far more of what you dealt; a tighter blast"
"ech_long_1","Long Core","Utility","Common","","ECHO","echo_time or echo_cooldown","echo_cooldown -25%; echo_time +50%","","it remembers far longer; slower to come back"
"ech_quick_1","Quick Core","Utility","Common","","ECHO","echo_cooldown or echo_time","echo_cooldown +50%; echo_time -30%","","back far sooner; it remembers less"
"ech_wide_1","Wide Core","Utility","Common","","ECHO","echo_radius or echo_share","echo_radius +40%; echo_share -20%","","a far wider blast; it repeats less"
"freight_bubble","Bubble Projector","Utility","Common","kit","FREIGHTER","bubble_pool","","","the bubble, and what it soaks"
"freight_emitter","Shockwave Emitter","Utility","Common","kit","BASTION","wave_range","","","the shockwave's reach and its push"
"freight_overdrive","Overdrive Coils","Utility","Common","kit","TENDER","overdrive_mult","","","the overdrive, and how long it holds"
"heavy_hunter_cells","Hunter Cells","Utility","Common","kit","WARDEN","hunter_count","","","the six hunter-seekers"
"heavy_railgun","Railgun Mount","Utility","Common","kit","SNIPER","rail_damage","","","the railgun's charge and its slug"
"heavy_rush_drive","Rush Drive","Utility","Common","kit","WARRIOR","rush_mult","","","the rush, and the EMP it ends in"
"hnt_heavy_1","Heavy Cells","Utility","Common","","WARDEN","hunter_damage or hunter_count","hunter_damage +60%","hunter_count -1","warheads that break ships; one missile fewer"
"hnt_rapid_1","Rapid Cells","Utility","Common","","WARDEN","hunter_cooldown or hunter_range","hunter_cooldown +50%; hunter_range -20%","","reloads far sooner; a shorter reach"
"hnt_seeker_1","Seeker Cells","Utility","Common","","WARDEN","hunter_turn or hunter_speed or hunter_damage","hunter_damage -20%; hunter_speed +20%; hunter_turn +60%","","missiles that turn hard and fly fast; lighter"
"hnt_swarm_1","Swarm Cells","Utility","Common","","WARDEN","hunter_damage or hunter_count","hunter_damage -25%","hunter_count +1","more missiles, each of them lighter"
"light_echo_core","Echo Core","Utility","Common","kit","ECHO","echo_time","","","what the echo remembers, and its blast"
"light_roll_thrusters","Roll Thrusters","Utility","Common","kit","DART","roll_time","","","the barrel roll, and the boost after it"
"light_stealth_veil","Stealth Veil","Utility","Common","kit","WRAITH","stealth_time","","","how long nothing can pick it"
"ovr_hard_1","Hard Coils","Utility","Common","","TENDER","overdrive_mult or overdrive_time","overdrive_mult +30%; overdrive_time -30%","","everything fires much faster, for less time"
"ovr_heavy_1","Heavy Coils","Utility","Common","","TENDER","overdrive_mult or overdrive_cooldown","overdrive_cooldown -30%; overdrive_mult +45%","","a fierce burst, and a long wait for it"
"ovr_long_1","Long Coils","Utility","Common","","TENDER","overdrive_time or overdrive_mult","overdrive_mult -20%; overdrive_time +60%","","holds far longer, at a lower rate"
"ovr_quick_1","Quick Coils","Utility","Common","","TENDER","overdrive_cooldown or overdrive_time","overdrive_cooldown +50%; overdrive_time -25%","","back far sooner, and up for less"
"rlg_long_1","Long Barrel","Utility","Common","","SNIPER","rail_range or rail_width","rail_range +40%; rail_width -30%","","throws the line far further; a narrower beam"
"rlg_quick_1","Quick Charge","Utility","Common","","SNIPER","rail_charge or rail_damage","rail_charge +60%; rail_damage -25%","","charges far faster; a lighter slug"
"rlg_slug_1","Heavy Slug","Utility","Common","","SNIPER","rail_damage or rail_charge","rail_charge -25%; rail_damage +50%","","a far heavier slug; a longer charge, locked"
"rlg_wide_1","Wide Beam","Utility","Common","","SNIPER","rail_width or rail_range or rail_cooldown","rail_cooldown -20%; rail_range -20%; rail_width +80%","","a far wider line; it costs reach and a longer wait"
"rol_hot_1","Hot Roll","Utility","Common","","DART","boost_rof or boost_speed","boost_rof +30%; boost_speed -15%","","it comes out shooting much faster, and slower"
